Molecule,Canonical SMILES,formula,mw,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,H_acceptor,H_donor,refractivity,tpsa,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,logp,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,log_s,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 120,CCN(CCCC(Nc1c2cc(OC)ccc2nc2c1ccc(c2)Cl)C)CC,C23H30ClN3O,399.96,28,14,0.43,9,3,1,121.41,37.39,4.3,6.03,5.78,3.79,5.52,5.084,-5.89,5.10e-04,1.27e-06,Moderately soluble,-6.59,1.02e-04,2.55e-07,Poorly soluble,-8.66,8.67e-07,2.17e-09,Poorly soluble,-7.047,High,Yes,Yes,Yes,No,No,Yes,Yes,-4.46,0,1,0,0,1,0.55,1,1,3,3.19
Molecule 121,CCC(c1cc(cc(c1O)C(CC)(C)C)C(C)(C)C)(C)C,C20H34O,290.48,21,6,0.7,5,1,1,95.89,20.23,4.04,7.14,6.06,5.31,6.07,5.724,-6.02,2.77e-04,9.54e-07,Poorly soluble,-7.39,1.20e-05,4.12e-08,Poorly soluble,-6.26,1.61e-04,5.55e-07,Poorly soluble,-6.557,High,No,No,Yes,No,No,No,No,-3,1,1,0,1,2,0.55,0,0,1,2.25
Molecule 122,COc1ccc(cc1)/C(=N\Nc1ccc(cc1)OC)/N=N/c1ccc(cc1)N(=O)=O,C21H19N5O4,405.41,30,18,0.1,8,7,1,115.63,113.39,3.53,5.51,5.5,2.88,2.9,4.064,-5.74,7.36E-04,1.82E-06,Moderately soluble,-7.65,9.07E-06,2.24E-08,Poorly soluble,-7.71,8.00E-06,1.97E-08,Poorly soluble,-7.033,Low,No,No,No,Yes,Yes,No,No,-4.86,0,0,0,0,1,0.55,1,4,3,3.4
Molecule 123,ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)(Cl)Cl,C14H9Cl5,354.49,19,12,0.14,3,0,0,85.15,0,3.4,6.91,6.5,6.17,6.49,5.894,-6.66,7.75E-05,2.19E-07,Poorly soluble,-6.72,6.73E-05,1.90E-07,Poorly soluble,-8.05,3.17E-06,8.95E-09,Poorly soluble,-7.143,Low,No,No,No,Yes,Yes,No,No,-3.56,1,1,0,1,2,0.55,0,1,2,1.92
Molecule 124,CCCCCCCC/C=C/CCCCCCCC(=O)OC,C19H36O2,296.49,21,0,0.84,16,2,0,94.26,26.3,4.75,7.45,6.2,4.8,6.54,5.948,-5.32,1.43E-03,4.83E-06,Moderately soluble,-7.83,4.34E-06,1.46E-08,Poorly soluble,-6.09,2.40E-04,8.11E-07,Poorly soluble,-6.413,High,No,No,Yes,No,No,No,No,-2.82,1,1,1,1,2,0.55,0,1,2,3.16
Molecule 125,O[C@H]1CC[C@]2(C(=CC=C3[C@@H]2CC[C@]2([C@H]3CC[C@@H]2[C@@H](/C=C/[C@@H](C(C)C)C)C)C)C1)C,C28H44O,396.65,29,0,0.79,4,1,1,127.47,20.23,4.81,7.43,7.33,6.33,6.44,6.468,-6.72,7.63E-05,1.92E-07,Poorly soluble,-7.69,8.17E-06,2.06E-08,Poorly soluble,-5.06,3.45E-03,8.69E-06,Moderately soluble,-6.49,Low,No,No,No,No,Yes,No,No,-3.44,1,2,0,1,2,0.55,0,1,2,6.58
Molecule 126,[O-][N+](=O)c1ccc(cc1)c1cc(c2ccccc2)c2c(n1)c1c(cc2)cccc1S(=O)(=O)O,C25H16N2O5S,456.47,33,26,0,4,6,1,128.8,121.46,1.88,5.3,6.96,3.29,2.67,4.02,-6.33,2.14e-04,4.70e-07,Poorly soluble,-7.6,1.14e-05,2.50e-08,Poorly soluble,-9.01,4.48e-07,9.82e-10,Poorly soluble,-7.647,Low,No,No,Yes,Yes,No,No,No,-5.32,0,1,0,1,1,0.56,0,4,2,3.14
Molecule 127,Oc1ccccc1C1CCCCC1,C12H16O,176.25,13,6,0.5,1,1,1,55.35,20.23,2.51,4.1,3.44,2.94,3.19,3.24,-3.79,2.85e-02,1.62e-04,Soluble,-4.23,1.04e-02,5.88e-05,Moderately soluble,-3.25,9.80e-02,5.56e-04,Soluble,-3.757,High,Yes,No,No,No,No,Yes,No,-4.46,0,0,0,0,2,0.55,0,0,2,1.51
Molecule 128,OC(=NC1CCCCC1)C(c1ccccc1)(c1ccccc1)O,C20H23NO2,309.4,23,12,0.35,4,3,2,93.73,52.82,3.05,4.21,4.1,3.32,4.08,3.75,-4.53,9.07e-03,2.93e-05,Moderately soluble,-5.03,2.89e-03,9.35e-06,Moderately soluble,-5.33,1.46e-03,4.71e-06,Moderately soluble,-4.963,High,Yes,No,Yes,No,No,Yes,No,-5.2,0,0,0,0,0,0.55,0,2,1,3.04
Molecule 129,Clc1ccc(c(c1)C(=N[C@@H](CC1CCCCC1)C)c1ccccc1)O,C22H26ClNO,355.9,25,12,0.41,5,2,1,107.76,32.59,4.05,7.15,6.24,4.58,6.39,5.68,-6.58,9.44e-05,2.65e-07,Poorly soluble,-7.66,7.87e-06,2.21e-08,Poorly soluble,-7.28,1.86e-05,5.22e-08,Poorly soluble,-7.173,High,No,No,No,Yes,Yes,Yes,No,-3.39,1,1,0,1,1,0.55,0,1,2,3.61
Molecule 130,O=c1cc(oc2c1cccc2)c1ccccc1,C15H10O2,222.24,17,16,0,1,2,0,67.92,30.21,2.55,3.56,3.46,2.27,4.04,3.18,-4.09,1.80e-02,8.11e-05,Moderately soluble,-3.88,2.93e-02,1.32e-04,Soluble,-6.13,1.63e-04,7.33e-07,Poorly soluble,-4.7,High,Yes,No,Yes,Yes,No,No,No,-5.13,0,0,0,0,0,0.55,0,0,2,2.88
Molecule 131,O=c1c(O)c(oc2c1cccc2)c1ccccc1,C15H10O3,238.24,18,16,0,1,3,1,69.94,50.44,2.44,3.4,3.17,1.66,3.52,2.84,-4.05,2.12e-02,8.90e-05,Moderately soluble,-4.14,1.73e-02,7.27e-05,Moderately soluble,-5.56,6.56e-04,2.75e-06,Moderately soluble,-4.583,High,Yes,No,Yes,Yes,No,Yes,Yes,-5.34,0,0,0,0,0,0.55,0,0,1,2.93
Molecule 132,OC(=O)C(Cc1cc2ccccc2oc1=O)N,C12H11NO4,233.22,17,10,0.17,3,5,2,61.54,93.53,1.41,-1.41,0.75,-1.52,1.48,0.14,-0.63,5.41e+01,2.32e-01,Very soluble,-0.05,2.07e+02,8.87e-01,Very soluble,-3.09,1.91e-01,8.18e-04,Soluble,-1.257,High,No,No,No,No,No,No,No,-8.72,0,0,0,0,0,0.55,0,1,1,3.16
Molecule 133,COc1c(oc2c(c1=O)cccc2)c1ccccc1,C16H12O3,252.26,19,16,0.06,2,3,0,74.41,39.44,2.8,3.73,3.47,1.91,4.02,3.19,-4.25,1.43e-02,5.69e-05,Moderately soluble,-4.25,1.42e-02,5.62e-05,Moderately soluble,-6.26,1.38e-04,5.48e-07,Poorly soluble,-4.92,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-5.19,0,0,0,0,0,0.55,0,0,1,3
Molecule 134,Oc1cccc2c1c(=O)cc(o2)c1ccccc1,C15H10O3,238.24,18,16,0,1,3,1,69.94,50.44,2.61,4.3,3.17,1.66,3.52,3.05,-4.62,5.74e-03,2.41e-05,Moderately soluble,-5.07,2.02e-03,8.46e-06,Moderately soluble,-5.56,6.56e-04,2.75e-06,Moderately soluble,-5.083,High,Yes,No,Yes,Yes,No,Yes,No,-4.7,0,0,0,0,0,0.55,0,0,2,2.87
Molecule 135,Oc1ccc(cc1)c1cc(=O)c2c(o1)cccc2,C15H10O3,238.24,18,16,0,1,3,1,69.94,50.44,2.2,3.2,3.17,1.66,3.52,2.75,-3.92,2.83e-02,1.19e-04,Soluble,-3.93,2.79e-02,1.17e-04,Soluble,-5.56,6.56e-04,2.75e-06,Moderately soluble,-4.47,High,Yes,No,Yes,Yes,No,Yes,Yes,-5.48,0,0,0,0,0,0.55,0,0,1,2.74
Molecule 136,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](c1ccnc2c1cc(OC)cc2)O,C20H24N2O2,324.42,24,10,0.45,4,4,1,99.73,45.59,3.33,2.88,2.47,2.23,3.11,2.8,-3.71,6.32e-02,1.95e-04,Soluble,-3.5,1.03e-01,3.18e-04,Soluble,-4.31,1.60e-02,4.92e-05,Moderately soluble,-3.84,High,Yes,No,No,No,No,Yes,No,-6.23,0,0,0,0,0,0.55,0,1,0,4.34
Molecule 137,O=C(c1ccccc1)C1CCC1,C11H12O,160.21,12,6,0.36,2,1,0,48.94,17.07,2.14,2.6,2.67,2.3,3.05,2.55,-2.71,3.13e-01,1.95e-03,Soluble,-2.61,3.95e-01,2.47e-03,Soluble,-3.21,9.83e-02,6.14e-04,Soluble,-2.843,High,Yes,No,No,No,No,No,No,-5.43,0,0,0,0,2,0.55,0,0,1,1.21
Molecule 138,CCCCc1ccc(cc1)NC(=O)/C(=N/Nc1ccccc1)/C(=O)C,C20H23N3O2,337.42,25,12,0.25,9,3,2,102.47,70.56,2.95,6,3.64,2.82,4.02,3.89,-5.47,1.13e-03,3.36e-06,Moderately soluble,-7.26,1.86e-05,5.51e-08,Poorly soluble,-6.97,3.65e-05,1.08e-07,Poorly soluble,-6.567,High,Yes,No,Yes,Yes,Yes,No,No,-4.1,0,0,0,0,1,0.55,1,2,2,2.98
Molecule 139,CCc1ccc(cc1)C(C)(C)C,C12H18,162.27,12,6,0.5,2,0,0,55.48,0,2.87,5.6,3.55,5.05,3.85,4.18,-4.61,3.96e-03,2.44e-05,Moderately soluble,-5.36,7.05e-04,4.34e-06,Moderately soluble,-4.39,6.63e-03,4.08e-05,Moderately soluble,-4.787,Low,Yes,No,No,No,No,Yes,No,-3.31,1,0,0,0,3,0.55,0,0,2,1
Molecule 140,COc1ccc2c(c1)CCC1C2=CC(=O)O1,C13H12O3,216.23,16,6,0.31,1,3,0,59.47,35.53,2.3,1.79,1.95,2.04,2.69,2.15,-2.52,6.53e-01,3.02e-03,Soluble,-2.15,1.51e+00,7.00e-03,Soluble,-3.34,9.84e-02,4.55e-04,Soluble,-2.67,High,Yes,No,Yes,No,No,No,No,-6.35,0,0,0,0,0,0.55,0,0,1,3.12
Molecule 141,COc1ccc2c(c1)ccc(c2)O,C11H10O2,174.2,13,10,0.09,1,2,1,52.46,29.46,1.97,2.23,2.55,2.17,2.48,2.28,-2.83,2.59e-01,1.49e-03,Soluble,-2.48,5.72e-01,3.28e-03,Soluble,-3.62,4.16e-02,2.39e-04,Soluble,-2.977,High,Yes,No,Yes,No,No,No,No,-5.78,0,0,0,0,1,0.55,0,0,1,1
Molecule 142,COc1ccc2c(c1)cc(cc2)O,C11H10O2,174.2,13,10,0.09,1,2,1,52.46,29.46,1.92,2.23,2.55,2.17,2.48,2.27,-2.83,2.59e-01,1.49e-03,Soluble,-2.48,5.72e-01,3.28e-03,Soluble,-3.62,4.16e-02,2.39e-04,Soluble,-2.977,High,Yes,No,Yes,No,No,No,No,-5.78,0,0,0,0,1,0.55,0,0,1,1
Molecule 143,COc1cccc(c1)NC(=O)c1ccco1,C12H11NO3,217.22,16,11,0.08,4,3,1,59.41,51.47,2.03,2.13,2.35,0.92,2.01,1.89,-2.77,3.66e-01,1.68e-03,Soluble,-2.84,3.12e-01,1.44e-03,Soluble,-4.26,1.19e-02,5.46e-05,Moderately soluble,-3.29,High,Yes,No,Yes,No,No,No,No,-6.11,0,0,0,0,0,0.55,0,0,1,2.05
Molecule 144,COc1ccc(cc1)c1nnc(o1)c1ccccc1,C15H12N2O2,252.27,19,17,0.07,3,4,0,71.66,48.15,3.04,3.05,3.41,2.37,3.41,3.06,-3.79,4.09e-02,1.62e-04,Soluble,-3.73,4.73e-02,1.87e-04,Soluble,-6.03,2.34e-04,9.27e-07,Poorly soluble,-4.517,High,Yes,No,Yes,Yes,No,Yes,Yes,-5.67,0,0,0,0,0,0.55,0,0,0,2.54
Molecule 145,COc1cccc2c1cc(Cl)ccc2=O,C12H9ClO2,220.65,15,11,0.08,1,2,0,61.72,26.3,2.46,3.04,2.86,2.21,3.65,2.84,-3.6,5.54e-02,2.51e-04,Soluble,-3.26,1.22e-01,5.52e-04,Soluble,-5.15,1.57e-03,7.11e-06,Moderately soluble,-4.003,High,Yes,No,Yes,Yes,No,No,No,-5.49,0,0,0,0,0,0.55,0,0,1,1.71
Molecule 146,COc1ccc2c(c1)cc(Cl)ccc2=O,C12H9ClO2,220.65,15,11,0.08,1,2,0,61.72,26.3,2.45,3.04,2.86,2.21,3.65,2.84,-3.6,5.54e-02,2.51e-04,Soluble,-3.26,1.22e-01,5.52e-04,Soluble,-5.15,1.57e-03,7.11e-06,Moderately soluble,-4.003,High,Yes,No,Yes,Yes,No,No,No,-5.49,0,0,0,0,0,0.55,0,0,1,1.55
Molecule 147,COc1cccc2c1ccc(=O)c(c2)Cl,C12H9ClO2,220.65,15,11,0.08,1,2,0,61.72,26.3,2.36,3.24,2.86,2.21,3.65,2.87,-3.73,4.15e-02,1.88e-04,Soluble,-3.47,7.55e-02,3.42e-04,Soluble,-5.15,1.57e-03,7.11e-06,Moderately soluble,-4.117,High,Yes,No,Yes,Yes,No,No,No,-5.35,0,0,0,0,0,0.55,0,0,1,1.56
Molecule 148,COc1c(Cl)c(=O)ccc2c1cccc2,C12H9ClO2,220.65,15,11,0.08,1,2,0,61.72,26.3,2.3,2.96,2.86,2.21,3.65,2.8,-3.55,6.23e-02,2.82e-04,Soluble,-3.18,1.47e-01,6.68e-04,Soluble,-5.15,1.57e-03,7.11e-06,Moderately soluble,-3.96,High,Yes,No,Yes,Yes,No,No,No,-5.54,0,0,0,0,0,0.55,0,0,1,1.83
Molecule 149,N#Cc1cc(OC)ccc1/C=C/C(=O)O,C11H9NO3,203.19,15,6,0.09,3,4,1,54.32,70.32,1.69,1.56,1.56,0.95,1.76,1.5,-2.18,1.34e+00,6.60e-03,Soluble,-2.65,4.58e-01,2.26e-03,Soluble,-2.08,1.69e+00,8.32e-03,Soluble,-2.303,High,Yes,No,Yes,No,No,No,No,-6.43,0,0,0,0,0,0.85,0,1,1,2.16
Molecule 150,N#Cc1cc(OC)ccc1/C=C\C(=O)O,C11H9NO3,203.19,15,6,0.09,3,4,1,54.32,70.32,1.66,1.56,1.56,0.95,1.76,1.5,-2.18,1.34e+00,6.60e-03,Soluble,-2.65,4.58e-01,2.26e-03,Soluble,-2.08,1.69e+00,8.32e-03,Soluble,-2.303,High,Yes,No,Yes,No,No,No,No,-6.43,0,0,0,0,0,0.85,0,1,1,2.16
Molecule 151,COc1ccc(cc1)/C=C/C1=NN=C(CC1)O,C13H14N2O2,230.26,17,6,0.23,3,4,1,75.73,54.18,2.28,1.65,1.94,1.92,3.51,2.26,-2.37,9.82e-01,4.26e-03,Soluble,-2.4,9.14e-01,3.97e-03,Soluble,-3.22,1.38e-01,5.98e-04,Soluble,-2.663,High,Yes,No,Yes,No,No,No,No,-6.53,0,0,0,0,0,0.55,0,0,1,3.11
Molecule 152,COc1cc(C=O)c(c(c1)[N+](=O)[O-])O,C8H7NO5,197.14,14,6,0.12,3,5,1,49.17,92.35,1.25,1.38,1.12,-0.52,-0.62,0.52,-2.05,1.75e+00,8.90e-03,Soluble,-2.92,2.36e-01,1.20e-03,Soluble,-1.28,1.03e+01,5.20e-02,Soluble,-2.083,High,No,No,No,No,No,No,No,-6.52,0,0,0,0,1,0.55,0,3,1,2.14
Molecule 153,FC(Oc1ccc2c(c1)C(=NCC(=N2)O)c1ccccc1)F,C16H12F2N2O2,302.28,22,12,0.12,3,6,1,86.3,54.18,2.46,3.66,3.81,2.23,4.45,3.32,-4.23,1.80e-02,5.95e-05,Moderately soluble,-4.49,9.85e-03,3.26e-05,Moderately soluble,-5.57,8.10e-04,2.68e-06,Moderately soluble,-4.763,High,Yes,No,Yes,Yes,No,Yes,No,-5.55,0,0,0,0,0,0.55,0,0,1,3.53
Molecule 154,CO[Si](c1ccccc1)(c1ccccc1)OC,C14H16O2Si,244.36,17,12,0.14,4,2,0,71.8,18.46,3.09,3.67,1.54,2.41,1.8,2.5,-3.93,2.90e-02,1.19e-04,Soluble,-3.75,4.37e-02,1.79e-04,Soluble,-5.28,1.28e-03,5.25e-06,Moderately soluble,-4.32,High,Yes,No,Yes,No,No,Yes,No,-5.18,0,0,0,0,0,0.55,0,1,2,4.08
Molecule 155,CO[Si](c1ccccc1)(OC)C,C9H14O2Si,182.29,12,6,0.33,3,2,0,51.59,18.46,2.62,2.38,1.26,1.26,0.56,1.61,-2.64,4.16e-01,2.28e-03,Soluble,-2.41,7.12e-01,3.90e-03,Soluble,-3.14,1.31e-01,7.19e-04,Soluble,-2.73,High,Yes,No,Yes,No,No,No,No,-5.72,0,0,0,0,1,0.55,0,1,1,3.72
Molecule 156,CC=CC(=Nc1ccc(cc1S(=O)(=O)N)Cl)O,C10H11ClN2O3S,274.72,17,6,0.1,3,5,2,67.17,101.13,1.67,1.64,3.23,1.38,1.22,1.83,-2.64,6.30e-01,2.29e-03,Soluble,-3.38,1.15e-01,4.20e-04,Soluble,-2.57,7.33e-01,2.67e-03,Soluble,-2.863,High,No,No,No,No,No,No,No,-6.81,0,0,0,0,0,0.55,0,2,0,2.98
Molecule 157,CO[Si](c1ccccc1)(OC)C,C9H14O2Si,182.29,12,6,0.33,3,2,0,51.59,18.46,2.62,2.38,1.26,1.26,0.56,1.61,-2.64,4.16e-01,2.28e-03,Soluble,-2.41,7.12e-01,3.90e-03,Soluble,-3.14,1.31e-01,7.19e-04,Soluble,-2.73,High,Yes,No,Yes,No,No,No,No,-5.72,0,0,0,0,1,0.55,0,1,1,3.72
Molecule 158,Nc1c(C)n(n(c1=O)c1ccccc1)C,C11H13N3O,203.24,15,11,0.18,1,1,1,60.66,52.95,2.04,0.14,1.07,1.59,0.79,1.13,-1.66,4.40e+00,2.16e-02,Very soluble,-0.81,3.16e+01,1.55e-01,Very soluble,-2.43,7.55e-01,3.72e-03,Soluble,-1.633,High,Yes,No,Yes,No,No,No,No,-7.44,0,0,0,0,0,0.55,0,0,1,2.16
Molecule 159,Nc1ccc(cc1Cl)S(=O)(=O)C,C7H8ClNO2S,205.66,12,6,0.14,1,2,1,48.95,68.54,1.17,1.52,2.41,1.5,1.06,1.53,-2.38,8.64e-01,4.20e-03,Soluble,-2.57,5.56e-01,2.70e-03,Soluble,-2.97,2.19e-01,1.06e-03,Soluble,-2.64,High,Yes,No,No,No,No,No,No,-6.48,0,0,0,0,0,0.55,0,1,1,1.91
Molecule 160,CS(=O)(=O)c1ccccc1,C7H8O2S,156.2,10,6,0.14,1,2,0,39.54,42.52,1.26,0.5,2.17,1.51,1.12,1.31,-1.5,4.92e+00,3.15e-02,Very soluble,-0.96,1.70e+01,1.09e-01,Very soluble,-2.69,3.15e-01,2.02e-03,Soluble,-1.717,High,Yes,No,No,No,No,No,No,-6.9,0,3,0,0,1,0.55,0,0,1,1.63
Molecule 161,c1ccc2c(n1)c1ncccc1cc2,C12H8N2,180.21,14,14,0,0,2,0,57.04,25.78,1.65,1.78,2.78,1.86,2.99,2.21,-2.82,2.74e-01,1.52e-03,Soluble,-1.94,2.07e+00,1.15e-02,Very soluble,-5,1.79e-03,9.95e-06,Moderately soluble,-3.253,High,Yes,Yes,Yes,No,No,No,Yes,-6.14,0,0,0,0,1,0.55,0,1,1,1.39
Molecule 162,COC(=O)C1=C(C(=O)OC)C2CC1C=C2,C11H12O4,208.21,15,0,0.45,4,4,0,52.38,52.6,2.49,1.21,0.83,1.27,1.14,1.39,-1.63,4.89e+00,2.35e-02,Very soluble,-1.91,2.55e+00,1.23e-02,Very soluble,-1.02,1.99e+01,9.55e-02,Soluble,-1.52,High,Yes,No,No,No,No,No,No,-6.71,0,0,0,0,0,0.55,0,2,1,4.57
Molecule 163,CCCCCCCCc1ccc(cc1)C(=O)C,C16H24O,232.36,17,6,0.56,8,1,0,75.25,17.07,3.4,5.26,4.79,4.01,5.28,4.55,-4.33,1.09e-02,4.70e-05,Moderately soluble,-5.37,9.96e-04,4.29e-06,Moderately soluble,-5.96,2.54e-04,1.09e-06,Moderately soluble,-5.22,High,Yes,No,Yes,No,No,Yes,No,-3.98,0,0,0,0,2,0.55,0,0,3,1.71
Molecule 164,CCOC(=O)C1=NN(C(=O)C1)c1ccccc1,C12H12N2O3,232.24,17,6,0.25,4,4,0,69.19,58.97,2.32,1.6,0.58,1.22,1.93,1.53,-2.29,1.20e+00,5.19e-03,Soluble,-2.45,8.24e-01,3.55e-03,Soluble,-2.97,2.47e-01,1.06e-03,Soluble,-2.57,High,No,No,Yes,No,No,No,No,-6.58,0,0,0,0,0,0.55,1,0,1,2.69
Molecule 165,O=C(c1ccccc1)CC(=O)C,C10H10O2,162.19,12,6,0.2,3,2,0,46.45,34.14,1.52,1.57,1.85,1.39,2.38,1.74,-2.01,1.60e+00,9.85e-03,Soluble,-1.9,2.05e+00,1.27e-02,Very soluble,-3.08,1.36e-01,8.39e-04,Soluble,-2.33,High,Yes,No,Yes,No,No,No,No,-6.17,0,0,0,0,1,0.55,0,1,1,1
Molecule 166,CC(=O)c1ccc(cc1)[N+](=O)[O-],C8H7NO3,165.15,12,6,0.12,2,3,0,45.46,62.89,1.32,1.53,1.8,0.59,-0.01,1.05,-2.07,1.42e+00,8.59e-03,Soluble,-2.46,5.73e-01,3.47e-03,Soluble,-2.11,1.29e+00,7.83e-03,Soluble,-2.213,High,Yes,No,Yes,No,No,No,No,-6.22,0,1,0,0,1,0.55,0,2,1,1.38
Molecule 167,O=C(c1ccccc1)CC(=O)C(F)(F)F,C10H7F3O2,216.16,15,6,0.2,4,5,0,46.64,34.14,1.48,2.58,3.65,1.82,2.97,2.5,-2.84,3.14e-01,1.45e-03,Soluble,-2.95,2.45e-01,1.13e-03,Soluble,-3.59,5.52e-02,2.55e-04,Soluble,-3.127,High,Yes,No,No,Yes,No,No,No,-5.79,0,0,0,0,0,0.55,0,1,1,1.3
Molecule 168,O=C(c1ccccc1)/C=C/c1ccccc1,C15H12O,208.26,16,12,0,3,1,0,66.25,17.07,2.53,3.08,3.47,3.44,3.95,3.29,-3.43,7.76e-02,3.73e-04,Soluble,-3.11,1.63e-01,7.84e-04,Soluble,-4.96,2.29e-03,1.10e-05,Moderately soluble,-3.833,High,Yes,No,No,Yes,No,No,No,-5.38,0,0,0,0,1,0.55,0,1,1,2.41
Molecule 169,CSc1ccc(cc1)C(=O)C,C9H10OS,166.24,11,6,0.22,2,1,0,48.36,42.37,2.03,2.02,2.61,2.37,2.72,2.35,-2.41,6.39e-01,3.85e-03,Soluble,-2.54,4.83e-01,2.90e-03,Soluble,-3.22,9.95e-02,5.98e-04,Soluble,-2.723,High,Yes,No,Yes,No,No,No,No,-5.88,0,0,0,0,1,0.55,0,0,1,1.2
Molecule 170,O=c1cc2sc3ccccc3nc2cc1N,C12H8N2OS,228.27,16,14,0,0,2,1,66.92,84.22,1.71,1.55,2.35,1.21,3.45,2.06,-2.88,3.01e-01,1.32e-03,Soluble,-2.93,2.69e-01,1.18e-03,Soluble,-4.62,5.50e-03,2.41e-05,Moderately soluble,-3.477,High,No,No,Yes,No,No,No,Yes,-6.59,0,0,0,0,0,0.55,0,2,1,2.84
Molecule 171,OC1=NC(=Nc2ccccc2)S/C/1=C/c1ccccc1,C16H12N2OS,280.34,20,12,0,2,3,1,88.94,70.25,2.66,4.36,3.93,2.9,4.43,3.66,-4.64,6.47e-03,2.31e-05,Moderately soluble,-5.55,7.89e-04,2.81e-06,Moderately soluble,-5.37,1.18e-03,4.23e-06,Moderately soluble,-5.187,High,Yes,No,Yes,Yes,Yes,No,No,-4.91,0,0,0,0,0,0.55,0,1,1,3.62
Molecule 172,OC1=NC2=Nc3c(NC2(O1)C(=NCc1ccccc1)O)cc(c(c3)C)C,C19H18N4O3,350.37,26,12,0.21,3,6,3,110.79,98.8,2.1,3.47,2.07,1.81,3.89,2.67,-4.34,1.59e-02,4.55e-05,Moderately soluble,-5.23,2.08e-03,5.93e-06,Moderately soluble,-5.67,7.53e-04,2.15e-06,Moderately soluble,-5.08,High,No,No,Yes,No,Yes,No,No,-5.97,0,0,0,0,0,0.55,0,2,1,4.43
Molecule 173,Clc1ccc(cc1)C(=O)c1noc(c1)c1ccccc1,C16H10ClNO2,283.71,20,17,0,3,3,0,76.82,43.1,3.08,4.33,4.23,2.7,4.46,3.76,-4.76,4.95e-03,1.75e-05,Moderately soluble,-4.95,3.19e-03,1.12e-05,Moderately soluble,-6.83,4.17e-05,1.47e-07,Poorly soluble,-5.513,High,Yes,No,Yes,Yes,Yes,No,No,-4.96,0,0,0,0,0,0.55,0,0,1,2.8
Molecule 174,Cc1ccc(cc1)C(=O)c1noc(c1)c1ccccc1,C17H13NO2,263.29,20,17,0.06,3,3,0,76.78,43.1,3.06,4.07,3.88,2.43,4.33,3.56,-4.47,8.97e-03,3.41e-05,Moderately soluble,-4.68,5.50e-03,2.09e-05,Moderately soluble,-6.61,6.45e-05,2.45e-07,Poorly soluble,-5.253,High,Yes,No,Yes,Yes,Yes,Yes,No,-5.02,0,0,0,0,0,0.55,0,0,1,2.92
Molecule 175,O=C1OC(=NC1=Cc1ccccc1)c1ccccc1,C16H11NO2,249.26,19,12,0,2,3,0,76.82,38.66,2.75,3.56,2.54,3.31,4.2,3.27,-3.96,2.71e-02,1.09e-04,Soluble,-4.06,2.18e-02,8.76e-05,Moderately soluble,-5.44,9.01e-04,3.61e-06,Moderately soluble,-4.487,High,Yes,No,Yes,Yes,Yes,No,No,-5.29,0,0,0,0,0,0.55,1,1,2,3.39
Molecule 176,O=C(c1noc(c1)c1ccco1)c1ccccc1,C14H9NO3,239.23,18,16,0,3,4,0,64.08,56.24,2.69,2.81,3.17,0.87,3.24,2.55,-3.55,6.69e-02,2.80e-04,Soluble,-3.65,5.38e-02,2.25e-04,Soluble,-5.44,8.65e-04,3.61e-06,Moderately soluble,-4.213,High,Yes,No,Yes,Yes,No,Yes,No,-5.76,0,0,0,0,0,0.55,0,0,1,2.95
Molecule 177,Cn1/c(=C/C=C/C=c\2/sc3c(n2C)cccc3)/sc2c1cccc2,C20H18N2S2,350.5,24,18,0.1,2,0,0,108.29,66.34,3.81,5.87,4.17,4.02,6.23,4.82,-6.13,2.57e-04,7.34e-07,Poorly soluble,-7.04,3.23e-05,9.21e-08,Poorly soluble,-5.33,1.64e-03,4.68e-06,Moderately soluble,-6.167,High,Yes,No,No,Yes,Yes,No,Yes,-4.27,0,0,0,0,1,0.55,0,0,2,3.64
Molecule 178,CCN(c1ccc(cc1)/C=C/1\SC(=Nc2ccccc2)N=C1O)CC,C20H21N3OS,351.47,25,12,0.2,5,3,1,112.76,73.49,3.4,5.21,4.78,2.85,4.83,4.21,-5.33,1.66e-03,4.71e-06,Moderately soluble,-6.5,1.11e-04,3.16e-07,Poorly soluble,-6.26,1.94e-04,5.53e-07,Poorly soluble,-6.03,High,No,No,Yes,Yes,Yes,No,Yes,-4.74,0,0,0,0,1,0.55,1,1,2,3.95
